Goal #,robust,robust,robust,robust,robust,naive,naive,naive,naive,naive,mean,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,0.0,100.0,3.302199949081305,101.77071816559948,100.0,0.0,100.0,0.5510180578315581,32.48948853915478,50.0,0.0,100.0,1.714330286080045,29.807489778735487,50.0,
1,0.0,100.0,2.0084482147003118,38.05003642269978,100.0,-,-,-,-,0,0.0,100.0,1.3032550682375483,36.51207325841816,50.0,
2,0.0,100.0,1.4279811971282494,47.64065632719724,100.0,-,-,-,-,0,0.0,100.0,1.7560696794936757,49.41640563558488,50.0,
3,0.0,100.0,0.9507823499051156,90.21894704010546,50.0,0.0,100.0,1.391695502807103,90.5381056930176,50.0,0.0,100.0,2.0603689213376546,90.00976545831206,100.0,
4,0.0,100.0,2.8686940319000844,74.01588032338013,50.0,0.0,100.0,2.513090288311792,62.48574589623078,100.0,0.0,20.0,6.546775709500224,78.76814647190714,100.0,
5,0.0,100.0,4.128221836832028,88.99612711101099,100.0,0.0,100.0,1.2303836703531161,57.15536150779273,100.0,0.0,100.0,1.4620106354846878,62.70114137544598,100.0,
6,0.0,100.0,0.811972298756287,47.393638912461206,100.0,0.0,100.0,0.5759494194220782,47.315031012482095,50.0,-,-,-,-,0,
7,0.0,100.0,2.377319048444547,88.04739330456043,100.0,0.0,0.0,1.4490630741761175,43.025273763303375,50.0,-,-,-,-,0,
8,0.0,100.0,1.203269765090189,79.59406812287652,100.0,0.0,100.0,0.8429463472200525,78.08559563469325,100.0,0.0,100.0,0.5758308114709905,80.06418650897088,100.0,
9,-,-,-,-,0,-,-,-,-,0,0.0,100.0,1.1366282489530513,65.8218434233728,50.0,
