Goal #,robust,robust,robust,robust,robust,naive,naive,naive,naive,naive,mean,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
1,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
2,0.0,100.0,0.7149324283190578,51.40746369154247,50.0,-,-,-,-,0,-,-,-,-,0,
3,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
4,10.0,60.0,1.2075397950074291,74.73950986544342,50.0,-,-,-,-,0,-,-,-,-,0,
5,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
6,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
7,-,-,-,-,0,0.0,100.0,0.8151865890487987,50.63921053338297,50.0,-,-,-,-,0,
8,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
9,0.0,100.0,1.072676856732981,64.83745824996821,50.0,0.0,100.0,0.9970418494161138,66.36366069685177,100.0,-,-,-,-,0,
