Goal #,robust,robust,robust,robust,robust,naive,naive,naive,naive,naive,mean,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
1,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
2,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
3,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
4,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
5,0.0,100.0,1.1830804462916609,57.81934767196081,50.0,0.0,0.0,1.7512142796662913,58.96329461162996,50.0,0.0,100.0,1.297437506607099,60.346170138116854,50.0,
6,0.0,100.0,1.1551177676613154,42.4730322870032,50.0,0.0,100.0,1.4360615847967864,42.578101338578776,50.0,0.0,100.0,1.2871508840194938,43.41434293182664,50.0,
7,-,-,-,-,0,0.0,100.0,5.094468379157768,191.38584020738296,50.0,-,-,-,-,0,
8,0.0,100.0,1.061795487094754,76.32114149996457,50.0,0.0,100.0,0.9768863405674055,78.84225010145545,50.0,0.0,0.0,3.8939753949126112,75.14492273936146,50.0,
9,-,-,-,-,0,100.0,0.0,0.7994622361590527,10.596290342273383,50.0,-,-,-,-,0,
