Goal #,naive_goal,naive_goal,naive_goal,naive_goal,naive_goal,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,100.0,0.0,-1.0,-1.0,100.0,-,-,-,-,0,100.0,50.0,-1.0,-1.0,100.0,-,-,-,-,0,
1,0.0,0.0,2.72,109.98,100.0,-,-,-,-,0,0.0,0.0,3.96,114.53,100.0,-,-,-,-,0,
2,0.0,100.0,1.21,83.07,100.0,-,-,-,-,0,0.0,100.0,1.2,66.32,100.0,-,-,-,-,0,
3,0.0,0.0,7.16,162.93,100.0,-,-,-,-,0,0.0,0.0,8.86,196.85,100.0,-,-,-,-,0,
4,0.0,100.0,1.94,80.3,100.0,-,-,-,-,0,0.0,0.0,4.17,96.26,100.0,-,-,-,-,0,
5,100.0,0.0,-1.0,-1.0,100.0,-,-,-,-,0,100.0,0.0,-1.0,-1.0,50.0,-,-,-,-,0,
6,0.0,0.0,8.2,206.16,50.0,-,-,-,-,0,100.0,0.0,-1.0,-1.0,50.0,-,-,-,-,0,
7,0.0,0.0,3.27,85.84,100.0,-,-,-,-,0,0.0,0.0,1.8,73.64,100.0,-,-,-,-,0,
8,0.0,100.0,5.5,134.31,100.0,-,-,-,-,0,0.0,100.0,5.06,175.72,50.0,-,-,-,-,0,
9,0.0,0.0,2.82,97.75,100.0,-,-,-,-,0,0.0,0.0,3.26,107.97,100.0,-,-,-,-,0,
10,0.0,0.0,2.47,77.81,100.0,-,-,-,-,0,0.0,0.0,2.6,75.9,100.0,-,-,-,-,0,
11,0.0,0.0,3.61,130.15,50.0,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
12,0.0,0.0,2.3,135.43,50.0,-,-,-,-,0,50.0,0.0,4.15,205.54,50.0,-,-,-,-,0,
13,0.0,0.0,3.96,141.18,50.0,-,-,-,-,0,0.0,0.0,3.37,157.79,50.0,-,-,-,-,0,
14,0.0,0.0,1.9,97.5,50.0,-,-,-,-,0,0.0,90.0,2.57,93.32,50.0,-,-,-,-,0,
15,0.0,0.0,3.96,161.22,50.0,-,-,-,-,0,0.0,0.0,4.31,152.89,50.0,-,-,-,-,0,
