Goal #,robust,robust,robust,robust,robust,naive,naive,naive,naive,naive,mean,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,-,-,-,-,0,0.0,100.0,2.1766850633940265,32.58350902033725,50.0,-,-,-,-,0,
1,-,-,-,-,0,0.0,0.0,4.9406811359797125,194.8995449843133,50.0,-,-,-,-,0,
2,-,-,-,-,0,0.0,90.0,1.7677610258131493,42.4845462587121,50.0,-,-,-,-,0,
3,-,-,-,-,0,100.0,0.0,2.4491401868935583,53.257868403335046,50.0,-,-,-,-,0,
4,-,-,-,-,0,90.0,0.0,2.1252841271383085,66.99314756577519,50.0,-,-,-,-,0,
5,-,-,-,-,0,80.0,0.0,3.5723981014625195,61.97689613281469,50.0,-,-,-,-,0,
6,-,-,-,-,0,20.0,10.0,2.788778062914183,38.79682396194967,50.0,-,-,-,-,0,
7,-,-,-,-,0,0.0,100.0,1.9682978914600369,54.5200519203578,50.0,-,-,-,-,0,
8,-,-,-,-,0,100.0,0.0,7.148977592684396,82.21430189243232,50.0,-,-,-,-,0,
9,-,-,-,-,0,100.0,0.0,2.3944784811544464,52.98701133049765,50.0,-,-,-,-,0,
10,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,
