Goal #,robust,robust,robust,robust,robust,naive,naive,naive,naive,naive,mean,mean,mean,mean,mean,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,-,-,-,-,0,0.0,100.0,1.0437317202864407,34.50845406459502,50.0,-,-,-,-,0,
1,-,-,-,-,0,0.0,100.0,1.4425614078105202,36.605798856306414,50.0,-,-,-,-,0,
2,-,-,-,-,0,0.0,100.0,1.2262274335246421,39.63511951278224,50.0,-,-,-,-,0,
3,-,-,-,-,0,77.77777777777777,22.22222222222222,3.0413277939340877,85.07030817702591,50.0,-,-,-,-,0,
4,-,-,-,-,0,50.0,10.0,2.8909871731452386,55.56118257973988,50.0,-,-,-,-,0,
5,-,-,-,-,0,90.0,0.0,3.6481115962327726,64.46638368389814,50.0,-,-,-,-,0,
6,-,-,-,-,0,0.0,40.0,2.628425963644286,37.67717447613233,50.0,-,-,-,-,0,
7,-,-,-,-,0,0.0,100.0,0.9327006645330135,50.01669958299163,50.0,-,-,-,-,0,
8,-,-,-,-,0,100.0,0.0,8.311306548524549,258.76981892532825,50.0,-,-,-,-,0,
9,-,-,-,-,0,80.0,0.0,1.932214663769901,62.23480108534927,50.0,-,-,-,-,0,
10,-,-,-,-,0,100.0,0.0,3.5797155861720946,44.148385133768,50.0,-,-,-,-,0,
