Goal #,naive_goal,naive_goal,naive_goal,naive_goal,naive_goal,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticPredict,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticCost,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,naive_withCriticThreshold,
,fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate, fail rate, reached goal, tracking RMSE, path length, planning rate
0,0.0,100.0,1.06,39.15,100.0,0.0,100.0,0.84,47.43,100.0,0.0,100.0,0.98,39.19,100.0,0.0,100.0,0.93,42.58,100.0,
1,0.0,100.0,1.54,58.02,100.0,90.0,10.0,1.52,76.4,100.0,60.0,0.0,1.89,92.88,100.0,0.0,0.0,2.69,82.15,100.0,
2,0.0,100.0,0.96,43.95,100.0,0.0,100.0,0.87,43.82,100.0,0.0,100.0,1.03,42.21,100.0,0.0,100.0,0.9,45.19,100.0,
3,100.0,0.0,1.11,51.88,100.0,100.0,0.0,1.36,71.21,100.0,100.0,0.0,0.85,53.33,100.0,20.0,80.0,4.34,122.49,50.0,
4,0.0,90.0,1.58,62.74,100.0,100.0,0.0,0.97,58.7,100.0,20.0,80.0,2.01,87.17,100.0,70.0,30.0,2.03,73.39,100.0,
5,100.0,0.0,2.08,44.95,100.0,100.0,0.0,2.11,50.22,100.0,60.0,0.0,2.46,62.14,100.0,100.0,0.0,1.51,50.84,100.0,
6,0.0,100.0,1.09,43.25,100.0,30.0,0.0,1.58,47.96,100.0,40.0,40.0,1.23,47.5,100.0,0.0,100.0,1.03,41.25,100.0,
7,0.0,100.0,1.26,52.48,100.0,0.0,100.0,0.97,51.9,100.0,60.0,40.0,0.9,59.2,100.0,0.0,100.0,1.16,55.82,100.0,
8,100.0,0.0,1.57,52.92,100.0,100.0,0.0,5.68,197.06,50.0,100.0,0.0,2.04,50.47,100.0,100.0,0.0,2.17,55.01,100.0,
9,100.0,0.0,1.25,57.77,100.0,20.0,80.0,1.18,68.44,100.0,100.0,0.0,1.21,58.67,100.0,80.0,20.0,1.42,64.81,100.0,
10,100.0,0.0,1.49,62.13,100.0,100.0,0.0,1.96,49.69,50.0,70.0,0.0,4.28,101.51,50.0,100.0,0.0,2.04,54.72,100.0,
