Goal #,robust,robust,robust,robust,naive,naive,naive,naive,mean,mean,mean,mean
,fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length, fail rate, reached goal, tracking RMSE, path length
0,0.000,100.000,3.369,134.478,-,-,-,-,0.000,100.000,1.003,55.090
1,0.000,100.000,2.403,43.462,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-
3,0.000,100.000,2.969,116.293,-,-,-,-,0.000,100.000,1.892,41.991
4,-,-,-,-,-,-,-,-,-,-,-,-
5,0.000,100.000,3.916,96.084,-,-,-,-,-,-,-,-
6,0.000,100.000,3.461,67.921,-,-,-,-,20.000,0.000,15.646,102.814
7,-,-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,0.000,100.000,4.537,111.788
9,0.000,100.000,3.860,72.045,0.000,100.000,6.240,77.093,0.000,100.000,1.930,76.635
10,-,-,-,-,0.000,100.000,1.146,45.298,-,-,-,-
11,-,-,-,-,-,-,-,-,-,-,-,-
12,0.000,100.000,1.836,78.356,0.000,100.000,1.411,71.185,0.000,100.000,0.656,52.968
13,0.000,100.000,2.170,80.728,-,-,-,-,0.000,100.000,2.919,87.765
14,0.000,100.000,0.793,65.332,-,-,-,-,-,-,-,-
